Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
190;46.379;46.408;46.508;46.814;46.317;47.136;46.727;46.651;47.864;48.039;47.156;47.731;48.198
191;46.455;46.271;46.388;46.819;46.189;46.821;46.618;46.974;47.453;46.966;47.541;47.68;48.221
192;46.331;46.302;46.481;131.765;46.379;46.814;46.591;46.876;47.184;47.23;47.136;47.738;49.591
193;46.416;46.291;46.398;47.52;46.484;46.763;46.749;46.932;47.224;46.888;47.486;47.99;48.489
194;46.424;46.281;46.359;47.148;46.349;46.653;46.779;47.287;46.675;46.894;47.09;47.305;49.516
195;46.461;46.374;46.371;47.072;46.978;132.544;46.514;46.409;46.811;133.434;46.882;47.051;48.962
196;46.416;46.388;46.396;47.083;46.71;46.949;46.585;46.675;47.237;48.144;47.091;47.439;48.236
197;46.302;46.393;46.544;46.794;46.836;46.72;46.652;133.244;46.734;47.372;47.555;47.269;48.754
198;46.296;46.3;46.389;47.176;46.54;46.71;46.658;47.077;46.69;47.124;47.207;47.166;48.155
199;46.416;46.345;46.642;46.571;46.759;46.682;46.655;46.846;46.707;47.336;47.334;134.872;48.185
200;46.299;46.278;46.402;46.639;46.212;46.551;46.626;46.872;46.888;46.731;47.264;48.167;48.713
201;46.367;46.336;46.41;46.646;46.303;46.711;46.652;46.676;46.743;46.687;47.196;47.81;48.021
202;46.262;46.159;46.537;46.817;46.651;46.747;46.938;46.832;46.823;46.854;47.487;47.536;48.559
203;46.31;46.308;46.533;46.663;46.438;47.045;46.661;46.801;47.043;47.119;47.278;48.122;48.644
204;46.343;46.067;46.569;46.776;46.395;46.601;46.539;46.763;47.04;46.865;47.245;47.307;48.227
205;46.352;46.129;46.431;46.699;46.442;46.454;46.479;46.842;46.807;47.084;47.096;46.772;47.976
206;46.39;46.194;46.507;46.591;46.324;46.89;46.555;47.403;46.978;47.211;47.056;46.834;48.586
207;46.267;46.362;46.548;46.708;46.712;46.581;46.45;46.698;46.831;46.515;46.778;48.002;48.946
208;46.384;46.936;46.464;46.791;46.297;46.452;46.362;46.772;46.806;46.975;46.85;46.774;136.745
209;46.333;46.324;46.308;46.655;46.086;46.582;46.364;46.491;46.812;46.877;47.05;46.874;49.916
210;46.268;46.353;46.353;46.783;47.077;46.773;46.465;46.461;46.731;46.588;47.254;47.152;48.335
211;46.183;46.251;46.7;47.08;46.423;46.572;46.487;46.602;46.838;46.912;47.179;47.102;47.989
212;46.486;46.363;46.466;46.831;46.229;46.523;46.446;46.689;46.936;47.038;47.13;47.234;48.302
213;46.267;132.032;46.451;46.986;46.326;46.683;132.33;46.652;46.76;46.97;132.806;47.47;48.515
214;46.486;46.553;132.681;132.994;132.886;46.632;133.841;46.604;132.946;47.236;48.498;46.805;49.542
215;46.369;46.298;46.995;47.398;47.729;131.038;47.256;46.455;47.728;47.009;47.621;47.061;48.17
216;46.327;46.189;46.378;46.719;47.432;47.607;46.519;46.74;47.32;46.771;47.626;134.547;49.158
217;131.564;46.119;46.155;46.739;133.642;47.115;46.564;132.688;47.406;134.007;47.349;48.267;48.035
218;46.789;46.271;46.45;46.768;48.116;46.982;46.699;48.019;47.173;48.313;47.236;47.246;48.761
219;46.332;46.166;46.343;46.795;46.909;46.777;46.607;47.31;47.332;47.274;47.511;47.29;48.178
220;46.311;46.092;46.109;46.815;46.843;46.945;46.61;47.204;47.157;47.226;47.386;47.365;48.65
221;46.349;46.162;46.193;46.696;46.805;47.025;46.538;47.237;47.418;47.004;47.306;46.954;47.811
222;46.209;46.12;46.226;46.726;46.903;46.963;46.444;47.309;46.933;47.311;47.245;47.456;48.392
223;46.239;46.106;46.205;46.752;46.855;47.049;46.506;46.966;48.326;47.123;132.799;47.341;48.354
224;46.503;46.195;46.216;46.713;46.719;46.871;46.695;47;47.158;46.843;48.16;47.049;48.259
225;46.207;46.072;46.173;46.788;46.757;46.665;46.782;47.167;46.884;47.242;47.457;46.991;48.774
226;46.239;46.251;46.321;132.116;46.695;46.625;46.477;46.795;47.018;47.265;47.652;48.006;48.51
227;46.279;46.034;46.12;47.161;46.697;47.214;46.499;46.582;47.173;47.196;47.142;47.459;48.281
228;46.166;46.138;46.217;46.677;46.85;46.783;46.511;46.854;47.301;47.26;47.479;47.023;48.391
229;46.258;46.072;46.011;46.689;46.359;132.233;46.923;46.701;47.067;47.459;47.69;47.267;47.79
230;46.086;46.108;46.104;47.26;46.559;47.541;46.896;47.324;47.292;46.874;47.472;46.918;49.313
231;46.347;46.101;46.364;46.941;46.807;46.881;46.811;46.593;47.005;47.173;48.015;48.217;48.157
232;46.275;46.064;46.388;46.615;46.518;46.903;46.443;46.88;46.804;47.248;47.247;47.11;48.55
233;46.2;46.101;46.264;46.833;46.608;46.742;46.78;46.68;133.64;47.214;134.022;46.958;48.353
234;46.314;46.105;46.334;46.906;46.607;46.756;46.676;46.795;47.829;46.786;47.544;46.899;48.659
235;46.19;46.127;46.101;46.959;46.692;141.795;46.628;46.896;47.724;46.867;47.538;47.083;48.391
236;46.219;46.157;46.262;46.863;46.719;47.498;46.632;133.759;47.467;46.876;47.095;46.877;138.394
237;46.216;46.109;46.436;46.829;46.8;47.058;46.353;47.914;133.08;46.935;47.03;47.045;49.056
238;46.232;46.065;46.145;46.87;46.759;47.008;46.43;47.541;47.567;47.016;46.997;47.008;48.335
239;46.23;46.135;46.17;46.704;46.848;48.45;46.371;47.209;46.902;132.513;46.787;136.035;50.488
240;46.153;46.084;46.206;46.695;46.648;46.943;46.958;46.944;47.161;48.138;46.771;49.336;47.315
241;46.269;46.045;46.188;46.807;46.853;46.742;46.723;47.242;47.301;47.333;46.72;48.525;47.691
242;46.288;46.122;46.345;46.633;46.779;47.001;46.664;46.92;46.759;46.884;46.981;48.938;47.968
