Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
156;71.97;73.596;72.086;73.011;72.716;72.534;73.347;72.549;191.653;73.03;72.772;75.012;73.837;76.862
157;71.901;72.578;72.119;191.057;72.777;72.358;202.965;72.612;74.099;72.777;72.57;74.994;73.683;197.928
158;71.988;72.892;72.097;73.102;72.868;190.987;74.069;72.498;73.22;73.789;72.547;75.684;73.888;75.417
159;190.965;73.007;72.253;72.642;72.689;192.499;73.102;72.717;73.278;73.104;73.113;74.785;74.203;73.783
160;193.078;72.57;72.161;72.52;72.582;74.345;72.734;72.69;73.534;72.715;73.346;74.653;192.883;73.867
161;73.303;72.49;72.205;72.35;72.453;73.071;73.552;72.603;73.247;72.656;72.284;75.247;74.489;74.132
162;72.3;72.486;72.247;72.201;72.699;73.494;72.913;72.481;73.419;73.432;72.572;75.058;74.046;74.315
163;71.968;72.405;72.143;72.043;72.469;72.959;73.14;191.17;73.607;72.703;72.549;74.935;73.086;73.672
164;71.911;72.551;190.17;71.899;191.346;191.765;72.896;75.231;73.364;72.939;203.412;193.472;73.387;73.978
165;71.834;72.396;74.925;71.929;74.716;74.097;191.85;73.69;73.422;191.961;74.17;76.057;73.062;73.965
166;71.951;191.016;73.574;72.184;73.464;192.039;73.736;73.671;192.544;74.27;73.002;74.921;73.479;73.843
167;71.784;72.765;73.372;71.984;73.303;73.684;72.698;73.78;73.891;73.319;73.007;74.247;73.181;73.472
168;71.942;71.758;73.135;72.172;73.079;72.826;72.6;191.781;72.752;72.95;73.306;74.592;73.663;73.982
169;71.997;71.685;73.199;72.129;73.098;72.626;72.69;73.505;72.887;73.271;73.138;74.073;73.413;73.984
170;71.914;71.844;73.269;72.12;73.029;72.534;72.721;72.181;72.415;72.996;74.045;73.975;73.222;73.893
171;71.839;71.726;73.204;190.522;73.178;72.392;72.595;72.321;73.056;73.084;73.131;74.481;73.204;73.656
172;72.161;71.629;73.069;192.308;73.126;72.746;72.935;72.171;72.626;73.09;73.554;74.092;73.207;73.372
173;190.947;71.414;73.286;192.728;73.147;72.68;72.464;72.28;72.881;192.123;73.501;74.407;73.318;74.003
174;73.901;71.614;73.02;74.455;73.046;72.361;72.492;72.079;72.591;74.225;73.261;73.953;72.954;73.806
175;72.705;71.426;73.425;73.411;72.959;72.044;72.514;72.389;72.457;73.214;73.433;74.051;72.619;73.511
176;191.369;71.412;72.822;73.222;72.754;72.726;190.513;72.459;72.476;72.705;74.29;74.269;72.901;
177;74.734;71.442;73.222;73.269;73.262;191.194;74.071;72.442;72.544;72.468;72.906;74.563;72.739;
178;192.308;189.941;72.977;74.699;73.097;74.398;72.582;71.931;72.45;72.617;73.204;74.755;;
179;73.688;73.416;73.039;73.284;72.885;73.363;72.763;72.181;72.744;72.525;73.004;;;
180;72.846;72.474;73.018;73.37;72.973;73.439;72.522;71.966;72.279;72.354;;;;
181;72.773;72.329;73.322;73.268;72.894;73.019;72.365;72.043;;;;;;
182;72.876;72.792;73.563;72.91;;;;;;;;;;
